phase,k_max,width,seed,output_dim,mc_samples,measured_mse,mc_floor,debiased_mse,debiased_rms,signal_to_floor,empirical_output_rms,cumulant_config,runtime_seconds,final_train_loss
initial,3,256,2,128,2000000,4.454827963666437e-07,2.7376256947272733e-07,1.7172022689391636e-07,0.0004143913933637092,0.6272596988867151,2.3712123195097874,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.1053018569946289,
trained_to_zero,2,256,2,128,2000000,1.218239028810196e-09,3.034445537457535e-11,1.1878945734356207e-09,3.446584647786299e-05,39.14700589521602,0.007967506980854668,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.016588926315307617,6.487016323186411e-05
trained_to_zero,3,256,2,128,2000000,1.7079767858332316e-09,3.034445537457535e-11,1.6776323304586563e-09,4.095891026942314e-05,55.286289035336935,0.007967506980854668,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.10444188117980957,6.487016323186411e-05
initial,2,512,0,128,2000000,4.623230427853762e-06,2.7089829993121203e-07,4.35233212792255e-06,0.002086224371423781,16.06629546596534,2.0583994919165267,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.040699005126953125,
initial,3,512,0,128,2000000,3.5788810640408813e-07,2.7089829993121203e-07,8.69898064728761e-08,0.00029494034392208216,0.32111610333089957,2.0583994919165267,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.4979839324951172,
trained_to_zero,2,512,0,128,2000000,4.6377896583686655e-10,2.1660444272853594e-11,4.42118521564013e-10,2.1026614600643942e-05,20.411332103566654,0.008780356914393782,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.10666203498840332,7.881177442990248e-05
trained_to_zero,3,512,0,128,2000000,3.8446383778581667e-10,2.1660444272853594e-11,3.628033935129631e-10,1.9047398602249154e-05,16.749582277389113,0.008780356914393782,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",1.4891607761383057,7.881177442990248e-05
initial,2,512,1,128,2000000,6.3384089335666916e-06,2.846644151626591e-07,6.053744518404032e-06,0.0024604358391155075,21.266249646781045,2.0406950937422983,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.060280799865722656,
initial,3,512,1,128,2000000,2.801783911755795e-07,2.846644151626591e-07,0.0,0.0,-0.015758991107182353,2.0406950937422983,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.6903800964355469,
trained_to_zero,2,512,1,128,2000000,4.473884804270646e-10,2.621776181457833e-11,4.2117071861248626e-10,2.052244426505981e-05,16.064327748156412,0.010369775622515587,"k_max=2,kind=simple,use_avg_metric=False,factor=False,use_pK=True,output_d_max=1",0.039392948150634766,0.00010104425668235417
trained_to_zero,3,512,1,128,2000000,7.255785539844922e-10,2.621776181457833e-11,6.993607921699139e-10,2.6445430459153316e-05,26.675076122670237,0.010369775622515587,"k_max=3,kind=simple,use_avg_metric=False,factor=True,use_pK=True,output_d_max=1",0.3661198616027832,0.00010104425668235417
